,,2/1/2023,2/1/2023,2/1/2023,2/1/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/3/2023,2/3/2023,2/3/2023,2/3/2023,2/4/2023,2/4/2023,2/4/2023,2/4/2023,2/5/2023,2/5/2023,2/5/2023,2/5/2023,2/6/2023,2/6/2023,2/6/2023,2/6/2023,2/7/2023,2/7/2023,2/7/2023,2/7/2023,2/8/2023,2/8/2023,2/8/2023,2/8/2023,2/9/2023,2/9/2023,2/9/2023,2/9/2023,2/10/2023,2/10/2023,2/10/2023,2/10/2023,2/11/2023,2/11/2023,2/11/2023,2/11/2023,2/12/2023,2/12/2023,2/12/2023,2/12/2023,2/13/2023,2/13/2023,2/13/2023,2/13/2023,2/14/2023,2/14/2023,2/14/2023,2/14/2023,2/15/2023,2/15/2023,2/15/2023,2/15/2023,2/16/2023,2/16/2023,2/16/2023,2/16/2023,2/17/2023,2/17/2023,2/17/2023,2/17/2023,2/18/2023,2/18/2023,2/18/2023,2/18/2023,2/19/2023,2/19/2023,2/19/2023,2/19/2023,2/20/2023,2/20/2023,2/20/2023,2/20/2023,2/21/2023,2/21/2023,2/21/2023,2/21/2023,2/22/2023,2/22/2023,2/22/2023,2/22/2023,2/23/2023,2/23/2023,2/23/2023,2/23/2023,2/24/2023,2/24/2023,2/24/2023,2/24/2023,2/25/2023,2/25/2023,2/25/2023,2/25/2023,2/26/2023,2/26/2023,2/26/2023,2/26/2023,2/27/2023,2/27/2023,2/27/2023,2/27/2023,2/28/2023,2/28/2023,2/28/2023,2/28/2023,,,,
DC,User ID,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves (Total),Hours Worked (Total),MPH (Total),On-Time Moves % (Total)
590,A582797,48,11,4.36,87.50%,46,10,4.6,82.61%,44,10,4.4,90.91%,7,2,3.5,100.00%,,,,,,,,,28,8,3.5,89.29%,23,4,5.75,73.91%,39,8,4.88,92.31%,46,10,4.6,93.48%,11,2,5.5,63.64%,,,,,,,,,29,8,3.63,96.55%,45,10,4.5,93.33%,37,10,3.7,94.59%,14,5,2.8,92.86%,,,,,,,,,,,,,21,8,2.63,90.48%,35,10,3.5,74.29%,37,8,4.63,78.38%,35,10,3.5,71.43%,8,2,4,100.00%,,,,,,,,,,,,,553,136,4.07,86.80%
590,A593317,29,9,3.22,86.21%,18,10,1.8,88.89%,21,10,2.1,66.67%,11,3,3.67,72.73%,45,12,3.75,88.89%,,,,,29,10,2.9,89.66%,31,10,3.1,93.55%,29,10,2.9,96.55%,28,9,3.11,89.29%,,,,,26,6,4.33,84.62%,,,,,45,10,4.5,95.56%,34,10,3.4,97.06%,30,10,3,86.67%,40,10,4,80.00%,,,,,,,,,16,5,3.2,100.00%,30,10,3,96.67%,21,8,2.63,90.48%,27,9,3,74.07%,,,,,,,,,,,,,27,9,3,74.07%,22,9,2.44,95.45%,559,179,3.12,88.01%
590,A617437,56,11,5.09,98.21%,44,10,4.4,93.18%,62,11,5.64,64.52%,,,,,,,,,,,,,48,10,4.8,93.75%,46,10,4.6,95.65%,48,11,4.36,93.75%,46,10,4.6,89.13%,,,,,,,,,,,,,46,10,4.6,95.65%,55,10,5.5,98.18%,40,10,4,92.50%,55,10,5.5,89.09%,,,,,,,,,,,,,51,10,5.1,96.08%,49,10,4.9,95.92%,45,10,4.5,82.22%,50,10,5,76.00%,,,,,,,,,,,,,52,10,5.2,98.08%,793,163,4.87,90.42%
590,A621666,,,,,27,10,2.7,100.00%,44,10,4.4,90.91%,5,2,2.5,40.00%,,,,,,,,,,,,,,,,,,,,,21,8,2.63,90.48%,,,,,27,7,3.86,96.30%,,,,,,,,,,,,,22,9,2.44,77.27%,16,8,2,93.75%,,,,,,,,,,,,,,,,,20,7,2.86,100.00%,4,2,2,75.00%,38,10,3.8,76.32%,,,,,,,,,,,,,,,,,224,73,3.07,88.39%
590,A632200,40,9,4.44,100.00%,,,,,4,2,2,100.00%,18,6,3,94.44%,28,12,2.33,96.43%,32,12,2.67,96.88%,16,4,4,100.00%,42,10,4.2,100.00%,33,10,3.3,96.97%,,,,,17,5,3.4,100.00%,38,9,4.22,100.00%,29,11,2.64,96.55%,16,5,3.2,93.75%,,,,,,,,,,,,,19,6,3.17,94.74%,36,12,3,100.00%,34,11,3.09,94.12%,15,6,2.5,100.00%,,,,,,,,,,,,,,,,,19,6,3.17,100.00%,38,11,3.45,94.74%,15,5,3,100.00%,489,152,3.22,97.75%
590,A633224,,,,,,,,,,,,,80,12,6.67,70.00%,51,12,4.25,90.20%,34,11,3.09,100.00%,,,,,,,,,,,,,,,,,54,11,4.91,83.33%,25,7,3.57,92.00%,,,,,,,,,,,,,,,,,,,,,50,11,4.55,86.00%,39,11,3.55,94.87%,41,9,4.56,90.24%,,,,,,,,,,,,,,,,,50,11,4.55,72.00%,48,10,4.8,89.58%,,,,,,,,,472,105,4.5,84.75%
590,A634341,,,,,,,,,,,,,69,13,5.31,81.16%,42,12,3.5,95.24%,55,12,4.58,87.27%,,,,,,,,,,,,,,,,,48,12,4,91.67%,19,6,3.17,73.68%,21,6,3.5,85.71%,,,,,,,,,,,,,,,,,38,12,3.17,100.00%,30,11,2.73,90.00%,48,12,4,83.33%,,,,,,,,,,,,,,,,,47,12,3.92,76.60%,43,11,3.91,86.05%,54,12,4.5,87.04%,,,,,514,131,3.92,86.58%
590,A639084,,,,,,,,,,,,,61,12,5.08,65.57%,39,12,3.25,79.49%,45,12,3.75,80.00%,,,,,,,,,,,,,22,6,3.67,90.91%,39,12,3.25,69.23%,54,12,4.5,79.63%,40,12,3.33,82.50%,,,,,,,,,,,,,,,,,,,,,30,11,2.73,100.00%,38,12,3.17,81.58%,,,,,,,,,,,,,,,,,45,12,3.75,84.44%,42,12,3.5,95.24%,48,12,4,89.58%,,,,,503,137,3.67,81.91%
590,A639650,48,11,4.36,91.67%,48,10,4.8,79.17%,42,11,3.82,90.48%,5,2,2.5,100.00%,,,,,,,,,28,7,4,85.71%,52,10,5.2,78.85%,42,10,4.2,90.48%,38,10,3.8,92.11%,12,2,6,83.33%,,,,,,,,,22,7,3.14,95.45%,41,10,4.1,95.12%,32,10,3.2,90.63%,39,10,3.9,94.87%,8,2,4,100.00%,,,,,,,,,27,8,3.38,92.59%,11,2,5.5,100.00%,33,8,4.13,69.70%,42,10,4.2,73.81%,12,2,6,100.00%,,,,,,,,,45,8,5.63,80.00%,627,150,4.18,86.92%
