,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
DC,Date,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves,Moves (Total)
590,9/1/2023,27,14,,,,9,21,30,36,16,25,34,16,26,27,16,13,20,13,22,20,23,11,15,434
590,9/2/2023,12,15,,,,4,23,13,31,18,10,33,10,13,11,14,11,20,15,34,22,19,10,28,366
590,9/3/2023,15,9,8,25,15,8,19,17,19,29,7,20,34,20,7,19,13,14,29,6,24,13,2,27,399
590,9/4/2023,14,21,8,10,21,10,12,3,13,28,9,20,14,16,9,18,25,10,34,17,28,13,5,18,376
590,9/5/2023,20,9,10,24,21,23,20,21,39,25,26,19,21,19,21,24,31,19,35,7,20,24,9,11,498
590,9/6/2023,34,28,,,2,6,23,39,26,14,32,34,16,31,19,14,22,15,46,17,10,33,4,16,481
590,9/7/2023,25,20,,,,13,27,38,26,25,21,37,12,20,17,25,17,21,20,16,9,15,10,25,439
590,9/8/2023,22,13,,,,9,38,24,32,26,22,27,25,15,25,19,10,9,30,5,20,19,7,18,415
590,9/9/2023,13,12,,,,15,25,29,21,24,12,26,20,24,14,10,23,16,22,35,14,23,6,19,403
590,9/10/2023,12,13,3,16,34,12,10,20,32,20,5,31,22,21,15,17,19,19,23,18,8,11,4,12,397
590,9/11/2023,18,14,2,14,23,22,9,14,24,17,5,29,16,16,7,13,14,9,15,13,13,23,8,12,350
590,9/12/2023,19,18,9,10,14,15,24,42,34,14,29,30,21,19,33,20,18,21,36,8,22,20,6,15,497
590,9/13/2023,32,28,0,,3,5,36,36,34,22,19,35,22,16,30,26,15,31,21,7,21,10,6,20,475
590,9/14/2023,9,20,,,,9,31,41,28,28,26,25,17,32,20,32,15,31,17,12,16,27,10,12,458
590,9/15/2023,18,32,0,,,7,18,36,44,20,19,29,28,28,32,22,16,32,12,4,8,11,14,20,450
590,9/16/2023,17,14,,,,11,16,33,30,24,11,28,23,16,8,11,16,19,10,18,43,14,6,19,387
590,9/17/2023,16,20,2,14,22,16,25,18,38,25,5,15,26,25,11,29,23,13,24,19,25,26,5,24,466
590,9/18/2023,13,15,14,16,32,6,2,14,13,24,12,16,21,16,16,12,10,8,19,33,13,26,3,21,375
590,9/19/2023,21,20,8,15,23,24,33,34,33,26,35,25,21,32,46,26,26,37,22,28,15,21,14,20,605
590,9/20/2023,26,27,,,,8,26,50,36,31,16,20,19,27,32,33,11,18,32,16,17,24,15,31,515
590,9/21/2023,24,25,0,,,12,31,40,28,20,26,42,20,24,27,19,15,14,21,12,35,32,10,28,505
590,9/22/2023,14,29,,,,13,15,39,33,33,34,34,22,30,23,18,3,35,13,5,19,14,8,19,453
590,9/23/2023,14,7,,,,16,13,19,23,16,3,19,27,7,6,11,14,23,20,16,35,19,9,21,338
590,9/24/2023,19,13,7,30,26,5,12,16,34,28,8,15,12,15,9,16,16,25,16,43,17,15,7,24,428
590,9/25/2023,15,18,5,21,15,14,,,,,,,,,,,,,,,,,,,88
Total,,469,454,76,195,251,292,509,666,707,553,417,643,485,508,465,464,396,479,545,411,474,475,189,475,"10,598"
,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported at: 09/25/2023 7:29:03 pm,,,,,,,,,,,,,,,,,,,,,,,,,,
Card ID: 383391,,,,,,,,,,,,,,,,,,,,,,,,,,
Card Name: Moves by Hour - By Day ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Are all rows displayed: yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of rows: 545,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period: 2023-09-01/2023-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Time Window:,,,,,,,,,,,,,,,,,,,,,,,,,,
Begin: 2023-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,
End: 2023-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,
